type,data,TSLA
cashflowStatementHistoryQuarterly,capitalExpenditures,-1164000000.0
cashflowStatementHistoryQuarterly,changeInCash,4898000000.0
cashflowStatementHistoryQuarterly,changeToAccountReceivables,-102000000.0
cashflowStatementHistoryQuarterly,changeToInventory,180000000.0
cashflowStatementHistoryQuarterly,changeToLiabilities,1540000000.0
cashflowStatementHistoryQuarterly,changeToNetincome,853000000.0
cashflowStatementHistoryQuarterly,changeToOperatingActivities,-376000000.0
cashflowStatementHistoryQuarterly,depreciation,618000000.0
cashflowStatementHistoryQuarterly,effectOfExchangeRate,234000000.0
cashflowStatementHistoryQuarterly,issuanceOfStock,5043000000.0
cashflowStatementHistoryQuarterly,netBorrowings,-2305000000.0
cashflowStatementHistoryQuarterly,netIncome,270000000.0
cashflowStatementHistoryQuarterly,otherCashflowsFromFinancingActivities,-46000000.0
cashflowStatementHistoryQuarterly,otherCashflowsFromInvestingActivities,122000000.0
cashflowStatementHistoryQuarterly,totalCashFromFinancingActivities,2692000000.0
cashflowStatementHistoryQuarterly,totalCashFromOperatingActivities,3019000000.0
cashflowStatementHistoryQuarterly,totalCashflowsFromInvestingActivities,-1047000000.0
incomeStatementHistoryQuarterly,costOfRevenue,8678000000.0
incomeStatementHistoryQuarterly,discontinuedOperations,
incomeStatementHistoryQuarterly,ebit,575000000.0
incomeStatementHistoryQuarterly,effectOfAccountingCharges,
incomeStatementHistoryQuarterly,extraordinaryItems,
incomeStatementHistoryQuarterly,grossProfit,2066000000.0
incomeStatementHistoryQuarterly,incomeBeforeTax,379000000.0
incomeStatementHistoryQuarterly,incomeTaxExpense,83000000.0
incomeStatementHistoryQuarterly,interestExpense,-241000000.0
incomeStatementHistoryQuarterly,minorityInterest,1454000000.0
incomeStatementHistoryQuarterly,netIncome,270000000.0
incomeStatementHistoryQuarterly,netIncomeApplicableToCommonShares,270000000.0
incomeStatementHistoryQuarterly,netIncomeFromContinuingOps,296000000.0
incomeStatementHistoryQuarterly,nonRecurring,
incomeStatementHistoryQuarterly,operatingIncome,575000000.0
incomeStatementHistoryQuarterly,otherItems,
incomeStatementHistoryQuarterly,otherOperatingExpenses,
incomeStatementHistoryQuarterly,researchDevelopment,522000000.0
incomeStatementHistoryQuarterly,sellingGeneralAdministrative,969000000.0
incomeStatementHistoryQuarterly,totalOperatingExpenses,10169000000.0
incomeStatementHistoryQuarterly,totalOtherIncomeExpenseNet,-196000000.0
incomeStatementHistoryQuarterly,totalRevenue,10744000000.0
